"dataelement","period","orgunit","categoryoptioncombo","value","storedby","timestamp","comment","followup"
"cI3OTahNbFi","2011","rSgH0wcixdL","P3p47Zcxn1C",6313,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","CkZAYM77WPE","P3p47Zcxn1C",7816,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","OlTExIDOjst","P3p47Zcxn1C",3490,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","JkW7gghrulp","P3p47Zcxn1C",4147,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","jacmlfX2WTQ","P3p47Zcxn1C",6589,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","JDSegV0DEfM","P3p47Zcxn1C",7130,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","D7YJUgYHfSE","P3p47Zcxn1C",3252,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","GWAV9HBUMfF","P3p47Zcxn1C",4236,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","w1Ip8crM9qa","P3p47Zcxn1C",3545,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","qsTeDzyfLIl","P3p47Zcxn1C",4470,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","CoSufuT3GtY","P3p47Zcxn1C",4004,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","m2hNi6jCsTV","P3p47Zcxn1C",3856,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","X9sH68wHy8S","P3p47Zcxn1C",3482,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","uj0c9Ripkj1","P3p47Zcxn1C",4277,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","gFgkZSgbeFi","P3p47Zcxn1C",4203,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","IgEb9ZLQgGh","P3p47Zcxn1C",4889,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","w8xe2g10jur","P3p47Zcxn1C",4457,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","SJcWbDnaGxa","P3p47Zcxn1C",4084,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","JKZd4RS4mJV","P3p47Zcxn1C",4524,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","NtpkeT4N307","P3p47Zcxn1C",13735,"admin","2013-01-30T07:27:01+0000","Import from R","false"
